Loại Kiến Thức,TT,QUESTIONS,A,B,C,D,ANS,rating
,161,Safety management should integrate with:,Occurrence reporting,"Continuous and systematic, using suitable safety indicators","Operational, technical, quality, change and capacity management",Corrective and preventive action,3,SUP
,162,Which of the following is an example of a safety indicator?,Post-implementation safety review,Likelihood and severity of consequences,"Loss of separation, runway incursions or level busts",Capacity management must never compromise safety,3,SUP
,163,Risk assessment requires evaluating:,Corrective and preventive action,Likelihood and severity of consequences,Safety performance monitoring,Increasing capacity without a safety assessment,2,SUP
,164,Which of these is NOT part of safety management activities?,Safety performance monitoring,"Operational, technical, quality, change and capacity management",Capacity assessment,Unrelated commercial or financial performance,4,SUP
,165,What services are included in ATS?,"Flight administration service, ATC service, air traffic consultancy service and alarming service","Flight administration service, flight information service, air traffic consultancy service and alarming service.","ATC services, flight information service, air traffic consultancy service and alarming service.","Flight administration service, flight information service, air traffic advisory service and alarming service.",1,SUP
,166,How is control divided between ATC units?,"By areas, sectors, levels, routes, phases and defined transfer points","The standardized QNH, QFE or 1013.2 hPa altimeter-setting procedure","All concerned ATS units have current, accurate and consistent data",Authorization for an aircraft to proceed under specified conditions,1,SUP
,167,What document must be submitted before controlled flight?,"By areas, sectors, levels, routes, phases and defined transfer points",Revert to voice or another approved communication method and notify the ATS unit,Flight plan,"Wake turbulence category, aircraft mass and relative sequence or phase",3,SUP
,168,An ATC clearance is defined as:,"The relevant ATS unit, including FIC, ACC, TWR or APP as applicable",Authorization for an aircraft to proceed under specified conditions,"By areas, sectors, levels, routes, phases and defined transfer points",Revert to voice or another approved communication method and notify the ATS unit,2,SUP
,169,Which instruction concerns airspeed restrictions?,Speed control instruction,ICAO wake turbulence procedures based on wake turbulence categories,Weather forecasts,"METAR, SPECI, TAF, SIGMET and AIREP as applicable",1,SUP
,170,What is a vertical speed control instruction?,Contingency procedures and reduced-capacity or separation arrangements,"Wake turbulence category, aircraft mass and relative sequence or phase",ICAO wake turbulence procedures based on wake turbulence categories,An instruction to maintain a specified rate of climb or descent,4,SUP
,171,What must pilots do when changing from IFR to VFR?,Made by pilot-in-command,Suggested by ATC when VMC exist,1 and 2,1 or  2,1,SUP
,172,Wake turbulence separation depends primarily on:,ICAO wake turbulence procedures based on wake turbulence categories,"Wake turbulence category, aircraft mass and relative sequence or phase","By areas, sectors, levels, routes, phases and defined transfer points","CPDLC logon, AFN or another approved data-link initiation procedure",2,SUP
,173,Failure of ATC systems requires:,Contingency procedures and reduced-capacity or separation arrangements,ICAO wake turbulence procedures based on wake turbulence categories,Flight plan,Weather forecasts,1,SUP
,174,Initial data link communications are established by:,Flight plan,Immediately or as soon as practicable,"CPDLC logon, AFN or another approved data-link initiation procedure","The relevant ATS unit, including FIC, ACC, TWR or APP as applicable",3,SUP
,175,Which ATS unit provides alerting service?,Pilot-in-command,The aerodrome operator,"The relevant ATS unit, including FIC, ACC, TWR or APP as applicable",Area control centre,3,SUP
,176,Which is NOT normally part of an ATC clearance?,Immediately or as soon as practicable,Weather forecasts,"By areas, sectors, levels, routes, phases and defined transfer points","Voice, CPDLC or data link, and automated reports such as ADS-C",2,SUP
,177,"In case of system irregularity, pilots must be informed:","Wake turbulence category, aircraft mass and relative sequence or phase","CPDLC logon, AFN or another approved data-link initiation procedure",Immediately or as soon as practicable,An instruction to maintain a specified rate of climb or descent,3,SUP
,178,Which procedures apply to wake turbulence separation?,Flight plan,ICAO wake turbulence procedures based on wake turbulence categories,"The relevant ATS unit, including FIC, ACC, TWR or APP as applicable","All concerned ATS units have current, accurate and consistent data",2,SUP
,179,Which altimeter setting procedure is standardized by ICAO?,"CPDLC logon, AFN or another approved data-link initiation procedure",Speed control instruction,Authorization for an aircraft to proceed under specified conditions,"The standardized QNH, QFE or 1013.2 hPa altimeter-setting procedure",4,SUP
,180,Position reports may be made via:,Immediately or as soon as practicable,Authorization for an aircraft to proceed under specified conditions,"Voice, CPDLC or data link, and automated reports such as ADS-C",An instruction to maintain a specified rate of climb or descent,3,SUP
,181,Meteorological information reports include:,Speed control instruction,"Wake turbulence category, aircraft mass and relative sequence or phase",An instruction to maintain a specified rate of climb or descent,"METAR, SPECI, TAF, SIGMET and AIREP as applicable",4,SUP
,182,"When updating flight plans, the ATS unit must ensure:","All concerned ATS units have current, accurate and consistent data",Flight plan,An instruction to maintain a specified rate of climb or descent,Immediately or as soon as practicable,1,SUP
,183,If communication is lost during DLIC procedure:,ICAO wake turbulence procedures based on wake turbulence categories,"METAR, SPECI, TAF, SIGMET and AIREP as applicable","The relevant ATS unit, including FIC, ACC, TWR or APP as applicable",Revert to voice or another approved communication method and notify the ATS unit,4,SUP
